inversion	orientation	probe	count.ini	count.fil	count.xun	count.uni	count.qc	efficiency.check	diagnosis
HsInv0004	INV	INVHsInv0004BP1HuRef	1209	745	0	745	745	1	
HsInv0004	INV	INVHsInv0004BP2HuRef	1134	713	0	713	713	0.957046979865772	
HsInv0004	STD	STDHsInv0004BP1HG18	7546	4719	4719	0	4719	0.96345447121274	
HsInv0004	STD	STDHsInv0004BP2HG18	7779	4898	4898	0	4898	1	
HsInv0006	INV	INVHsInv0006BP1HuRef	2954	1707	7	1700	1700	1	errorMatches
HsInv0006	INV	INVHsInv0006BP2HuRef	1401	1401	172	1229	1229	0.722941176470588	errorMatches
HsInv0006	STD	STDHsInv0006BP1HG18	6360	3072	3072	0	3072	1	
HsInv0006	STD	STDHsInv0006BP2HG18	5051	2367	2367	0	2367	0.7705078125	
HsInv0015	INV	INVHsInv0015BP1HuRef	10436	3621	0	3621	3621	1	
HsInv0015	INV	INVHsInv0015BP2HuRef	9479	3521	0	3521	3521	0.972383319524993	
HsInv0015	STD	STDHsInv0015BP2HG18	2710	1595	1594	1	1594	1	errorMatches
HsInv0016	INV	INVHsInv0016BP1HuRef	19261	4487	0	4487	4487	1	
HsInv0016	INV	INVHsInv0016BP2HuRef	14508	3765	0	3765	3765	0.839090706485402	
HsInv0016	STD	STDHsInv0016BP1HG18	2710	761	761	0	761	0.907032181168057	
HsInv0016	STD	STDHsInv0016BP2HG18	2778	839	839	0	839	1	
HsInv0041	INV	INVHsInv0041BP1HuRef	5784	1388	0	1388	1388	0.888604353393086	
HsInv0041	INV	INVHsInv0041BP2HuRef	8107	1562	0	1562	1562	1	
HsInv0041	STD	STDHsInv0041BP1HG18	5084	1843	1843	0	1843	1	
HsInv0041	STD	STDHsInv0041BP2HG18	8046	1231	827	404	820	0.444926749864352	errorMatches
HsInv0044	INV	INVHsInv0044BP1HuRef	11739	7950	0	7950	7950	1	
HsInv0044	INV	INVHsInv0044BP2HuRef	16153	6594	0	6594	6594	0.829433962264151	
HsInv0044	STD	STDHsInv0044BP1HG18	0	0	0	0	0	NA	emptyRef,failedDetection
HsInv0044	STD	STDHsInv0044BP2HG18	1	0	0	0	0	NA	emptyRef,allFiltered
HsInv0058	INV	INVHsInv0058BP1HuRef	7831	3262	0	3262	3262	1	
HsInv0058	INV	INVHsInv0058BP2HuRef	9677	3142	0	3142	3142	0.963212752912324	
HsInv0058	STD	STDHsInv0058BP1HG18	10419	2382	2382	0	2382	1	
HsInv0058	STD	STDHsInv0058BP2HG18	7761	2182	2181	1	2181	0.915617128463476	errorMatches
