Inversion	Numinds.with.ref	Percentage.Different GType	Percentage.Same GType	Percentage.Filter (few reads)	Percentage.Filter (0 reads)	Numinds.geno.break	Reads.Min	Reads.Median	Reads.Mean	Reads.Max	QualityTest
HsInv0004	187	0	56.1497326203209	43.3155080213904	0.53475935828877	414	1	8.5	8.93932038834951	28	
HsInv0006	188	0	47.3404255319149	50	2.65957446808511	414	1	6	6.74875621890547	28	
HsInv0015	92	0	29.3478260869565	69.5652173913043	1.08695652173913	414	1	6	7.01711491442543	27	
HsInv0016	92	0	61.9565217391304	36.9565217391304	1.08695652173913	414	1	7	7.58312655086849	27	
HsInv0041	188	0.531914893617021	20.2127659574468	69.6808510638298	9.57446808510638	414	1	4	4.3974025974026	17	
HsInv0044	NA	NA	NA	NA	NA	414	1	11	11.5714285714286	32	
HsInv0058	187	0	62.0320855614973	37.4331550802139	0.53475935828877	414	1	8	9.05326876513317	34	
HsInv0059	188	0.531914893617021	57.4468085106383	38.8297872340425	3.19148936170213	414	1	7	7.79900744416873	25	
HsInv0060	91	1.0989010989011	45.0549450549451	51.6483516483517	2.1978021978022	414	1	6	6.73965936739659	29	
HsInv0068	187	0.53475935828877	38.5026737967914	58.8235294117647	2.13903743315508	414	1	5	5.52109181141439	32	
HsInv0081	92	0	48.9130434782609	48.9130434782609	2.17391304347826	414	1	6	6.51758793969849	22	
HsInv0091	92	1.08695652173913	42.3913043478261	55.4347826086957	1.08695652173913	414	1	13	14.818401937046	48	
HsInv0092	188	0	54.2553191489362	45.7446808510638	0	414	1	7	7.56521739130435	29	
HsInv0095	188	0	43.0851063829787	56.3829787234042	0.531914893617021	414	1	6	7.10679611650485	22	
HsInv0097	188	0	64.3617021276596	35.1063829787234	0.531914893617021	414	1	8	9.30750605326877	27	
HsInv0098	188	0	55.8510638297872	43.6170212765958	0.531914893617021	414	1	9	9.48543689320388	29	
HsInv0102	188	0	56.9148936170213	41.4893617021277	1.59574468085106	414	1	8	8.119804400978	22	
HsInv0105	188	1.06382978723404	50	46.8085106382979	2.12765957446809	414	1	6	6.93366093366093	23	
HsInv0113	96	0	44.7916666666667	52.0833333333333	3.125	414	1	4	4.995	17	
HsInv0141	92	0	59.7826086956522	40.2173913043478	0	414	1	8	8.96350364963504	30	
HsInv0156	110	0	55.4545454545455	40.9090909090909	3.63636363636364	414	1	6	6.77283950617284	21	
HsInv0163	119	0	61.3445378151261	36.9747899159664	1.68067226890756	414	1	7	7.86308068459658	28	
HsInv0164	90	0	51.1111111111111	47.7777777777778	1.11111111111111	414	1	8	8.71393643031785	24	
HsInv0174	92	0	42.3913043478261	57.6086956521739	0	414	1	8	8.37408312958435	26	
HsInv0181	89	0	42.6966292134831	51.685393258427	5.61797752808989	414	1	6	6.25316455696202	19	
HsInv0191	92	0	52.1739130434783	47.8260869565217	0	414	1	9	9.64734299516908	26	
HsInv0200	NA	NA	NA	NA	NA	414	1	2	2.01005025125628	8	
HsInv0201	188	1.06382978723404	59.5744680851064	37.7659574468085	1.59574468085106	414	1	8	8.52682926829268	25	
HsInv0212	92	1.08695652173913	58.695652173913	40.2173913043478	0	414	1	8	8.72992700729927	27	
HsInv0213	NA	NA	NA	NA	NA	414	1	9	9.88135593220339	31	
HsInv0260	188	0	23.936170212766	71.2765957446808	4.78723404255319	414	1	4	4.70854271356784	20	
HsInv0284	187	0	59.3582887700535	38.5026737967914	2.13903743315508	414	1	7	7.24630541871921	22	
HsInv0379	193	0	40.4145077720207	54.4041450777202	5.18134715025907	414	1	4	5.05236907730673	21	
HsInv0409	188	0	35.6382978723404	60.1063829787234	4.25531914893617	414	1	5	5.51020408163265	20	
HsInv0442	92	1.08695652173913	58.695652173913	39.1304347826087	1.08695652173913	414	1	8	8.38669950738916	24	
HsInv0553	92	0	36.9565217391304	59.7826086956522	3.26086956521739	414	1	4	4.58717948717949	15	
HsInv0901	91	0	59.3406593406593	40.6593406593407	0	414	1	9	9.07281553398058	34	
HsInv0960	92	0	64.1304347826087	35.8695652173913	0	414	1	9	9.87893462469734	27	
HsInv0965	113	0	53.9823008849557	44.2477876106195	1.76991150442478	414	1	7	7.82309582309582	31	
HsInv0989	92	0	64.1304347826087	35.8695652173913	0	414	1	8	8.02195121951219	22	
HsInv0991	92	0	47.8260869565217	50	2.17391304347826	414	1	6	6.37317073170732	19	
HsInv1053	188	0	52.1276595744681	47.3404255319149	0.531914893617021	414	1	7	7.65936739659367	25	
HsInv1065	92	0	59.7826086956522	40.2173913043478	0	414	1	13	13.6328502415459	41	
HsInv1066	122	0	58.1967213114754	40.9836065573771	0.819672131147541	414	1	8	9.16464891041162	28	
HsInv1070	121	0	63.6363636363636	36.3636363636364	0	414	1	6	6.46829268292683	24	
HsInv1075	119	0.840336134453782	54.6218487394958	42.0168067226891	2.52100840336134	414	1	7	7.26535626535627	25	
HsInv1116	188	0.531914893617021	63.2978723404255	34.5744680851064	1.59574468085106	414	1	8	8.84107579462103	30	
HsInv1122	67	0	53.7313432835821	44.7761194029851	1.49253731343284	414	1	10	11.9014084507042	48	
HsInv1127	92	0	13.0434782608696	65.2173913043478	21.7391304347826	414	1	2	3.08794788273616	11	
HsInv1128	92	0	50	50	0	414	1	7	8.42822384428224	30	
HsInv1129	94	0	31.9148936170213	67.0212765957447	1.06382978723404	414	1	4	4.69642857142857	17	
HsInv1143	92	0	52.1739130434783	47.8260869565217	0	414	1	9	9.32766990291262	29	
HsInv1222	91	0	62.6373626373626	37.3626373626374	0	414	1	7	7.51604938271605	24	
HsInv1256	92	0	64.1304347826087	33.695652173913	2.17391304347826	414	1	9	9.3495145631068	28	
HsInv1258	92	0	63.0434782608696	35.8695652173913	1.08695652173913	414	1	9	9.20581113801453	28	
HsInv1263	92	2.17391304347826	42.3913043478261	50	5.43478260869565	414	1	6	6.42131979695431	26	
HsInv1264	93	0	44.0860215053763	52.6881720430108	3.2258064516129	414	1	5	5.11358024691358	17	
